feature,is_timeseries,matchOutcome_mi,matchOutcome_mi_mean,position_mi,position_mi_mean,laneOutcome_mi,laneOutcome_mi_mean,heroName_mi,heroName_mi_mean,best_minute
goldNorm,True,0.013458615596980947,0.007897862496275132,0.2747062150136748,0.07355230670506052,0.09189466552399703,0.03658341994995752,0.05927955421258649,0.01924759372867443,0.0
xpNorm,True,0.012647395937910618,0.004789556293528873,0.11416966964944679,0.055060378107851846,0.026523955116296804,0.0144878150076058,0.01526073152476889,0.008617274268892874,5.0
damageDealtNorm,True,0.00722484523702441,0.001712988601403466,0.04087638513589919,0.02304629090601586,0.009518821284512941,0.00559563942579506,0.024942262332581917,0.015756046059688538,6.0
damageTakenNorm,True,0.006182649374961979,0.0011979820266776373,0.01830987692505372,0.007811251501785322,0.008290264052483738,0.0047248292996923,0.008800723034077479,0.006001436589993599,4.0
csNorm,True,0.012688295900292426,0.0052239212943849655,0.29716262708279606,0.2341575633593842,0.029769637497920717,0.02347995858862691,0.06554893596028502,0.05443983751623591,4.0
towerDamageNorm,True,0.01238260894361762,0.003914047795018477,0.0266462639047198,0.009146279292826623,0.02602511569737011,0.007413107386278138,0.015030920403370774,0.007306383923695543,38.0
healingNorm,True,0.007172980776556814,0.002120927157412762,0.019421832811102407,0.011502125111368434,0.0053710718843868735,0.002619348090215081,0.03485701892610133,0.022654780831664483,4.0
healthPct,True,0.006319838639098699,0.0016700646565123885,0.08337673622636564,0.03928822761691071,0.007726814204147233,0.003865337560902157,0.044457629164425444,0.01125374770286074,2.0
manaPct,True,0.0066879751155982225,0.001953193996177602,0.05711858742351359,0.03902486092113101,0.008291857167505362,0.00426759639596528,0.15157487922928825,0.03989586172396259,0.0
distToNearestAlly,True,0.006228689664593286,0.001674470727451177,0.2713710122005024,0.16109182169074904,0.006981294283502975,0.004299640938557151,0.03575269179244646,0.02256885523606001,7.0
distToNearestEnemy,True,0.006445316557469236,0.0013580152845185133,0.14103408387914906,0.026628562622730723,0.006148039442657475,0.003125950384161154,0.020809214270944957,0.007245046218801144,1.0
distToNearestTower,True,0.01457798346898282,0.005144475880909692,0.5084830404339936,0.3186737757709862,0.037694306540225916,0.01909177528593606,0.08091391046737666,0.05125512523005902,4.0
kills,True,0.009125051328727775,0.0027075554385651126,0.004513248287491311,0.0012152770813268756,0.006445266439886378,0.0025534660078640067,0.0013959644680909078,0.0005169784192807966,36.0
deaths,True,0.007217379451857936,0.002476276513538041,0.005099455139297133,0.001006330691779377,0.005343112420044783,0.0027625865111034513,0.0017679751679563966,0.0004578014272100583,3.0
assists,True,0.007792918919682138,0.0025391111417195243,0.005423298887323479,0.0024131105762306053,0.006057313413746672,0.001897461455655411,0.0018681784587166832,0.0005927718108832313,11.0
abilityCasts,True,0.009266835165277506,0.0021807160873480954,0.018657034850780393,0.012214227710418805,0.004215311119988898,0.0009678151985346498,0.030288339754826633,0.026879733450274078,31.0
alliesNearby,True,0.009458056987676074,0.005152103193785895,0.17892988238172222,0.09435047250314318,0.005745920926789814,0.002255752706682299,0.021831985936266653,0.012244319226326763,6.0
enemiesNearby,True,0.012446437387104005,0.0040572942231582405,0.12976008058962793,0.05479464204403652,0.004309813736635032,0.001663941168926629,0.017318788387539624,0.007634905038903406,4.0
maxGold,False,0.011927671363998535,0.011927671363998535,0.2935678467349325,0.2935678467349325,0.12369547234772678,0.12369547234772678,0.06425940076424756,0.06425940076424756,
maxXp,False,0.014754344564630172,0.014754344564630172,0.26496055403349633,0.26496055403349633,0.07172594506034181,0.07172594506034181,0.04593710128147066,0.04593710128147066,
maxDamageDealt,False,0.0017994980332482313,0.0017994980332482313,0.016804307121932767,0.016804307121932767,0.03590501487869872,0.03590501487869872,0.03256974992860633,0.03256974992860633,
maxDamageTaken,False,0.0007452814988855655,0.0007452814988855655,0.02257261564214529,0.02257261564214529,0.039359877607764916,0.039359877607764916,0.033461858773400466,0.033461858773400466,
maxCs,False,0.005042773618251685,0.005042773618251685,0.37948651015977625,0.37948651015977625,0.04894366791924188,0.04894366791924188,0.0907435788035891,0.0907435788035891,
maxTowerDamage,False,0.006554921817384425,0.006554921817384425,0.02608018148384652,0.02608018148384652,0.03322310780973623,0.03322310780973623,0.02743469363448383,0.02743469363448383,
maxHealing,False,0.004594297338430059,0.004594297338430059,0.038565925844022,0.038565925844022,0.0067614958109043005,0.0067614958109043005,0.0677587264529883,0.0677587264529883,
